class,value
CON,20.63344921
CON,20.51757435
CON,22.08574739
CON,21.88489764
CON,21.23599846
CON,27.18424102
SHED,23.71572036
SHED,31.17806103
SHED,23.84704519
SHED,31.07763615
SHED,24.90459637
