class,value
WT,19.92
WT,25.56
WT,21.08
WT,59.96
WT,38.04
WT,40.76
WT,0
CON,44.44
CON,53.92
CON,296.24
CON,47.12
CON,46.6
CON,3.48
CON,132.88
CON,20.2
CON,85.32
CON,120.44
CON,110.2
CON,95
CON,114.52
CON,149.08
SHED,41.12
SHED,20.52
SHED,53.28
SHED,98.6
SHED,4.72
SHED,116.68
SHED,100.72
SHED,86.12
SHED,90.08
SHED,103.56
SHED,90.92
SHED,68.64
SHED,100.72
SHED,40.68
SHED,77.52
SHED,113.24
