class,value
CON,0.726
CON,0.611
CON,0.624
CON,0.593
CON,0.525
CON,0.58
SHED,0.814
SHED,0.829
SHED,0.763
SHED,0.763
SHED,0.751
SHED,0.675
SHED,0.689
SHED,0.712
