class,value
WT,209.16
WT,48.4
WT,128.8
WT,108.16
WT,61.4
WT,153.72
WT,296.32
CON,129.76
CON,137.36
CON,3.8
CON,106.24
CON,169.64
CON,21.72
CON,33.8
CON,83.08
CON,35.92
CON,5.92
CON,81.92
CON,76.8
CON,72.36
CON,49.6
SHED,118.4
SHED,200.88
SHED,61.96
SHED,120.72
SHED,248.04
SHED,64.08
SHED,30.56
SHED,54.52
SHED,84.68
SHED,70.68
SHED,52.16
SHED,46.16
SHED,50.08
SHED,85.28
SHED,21.96
SHED,56.88
