class,value
WT,2.989136
WT,1.960852
WT,4.207595
WT,3.530091
WT,4.261334
WT,2.056113
WT,0.199445
CON,4.227664
CON,6.311382
CON,0.043823
CON,7.269491
CON,3.98104
CON,0.30199
SHED,10.342773
SHED,4.129894
SHED,4.416658
SHED,3.88937
SHED,6.337463
