class,value
CON,5.126914
CON,5.159024
CON,6.132013
CON,3.427809
CON,3.942268
CON,6.361544
CON,2.994858
SHED,2.166348
SHED,7.253744
SHED,5.534816
SHED,5.024515
SHED,3.281736
