class,value
CON,0.90883468
CON,0.914083
CON,0.99455729
CON,1.02692196
CON,1.14151035
CON,0.99718146
CON,1.00505394
CON,0.98318593
CON,1.0286714
SHED,1.545631257
SHED,1.378559627
SHED,1.395179318
SHED,2.059966955
SHED,2.110700748
SHED,1.525512683
SHED,1.494022743
