class,value
WT,15.8
WT,196.52
WT,60.76
WT,67.32
WT,100.28
WT,31.2
WT,0
CON,56.84
CON,63.64
CON,0
CON,71.76
CON,41.92
CON,274.84
CON,105.32
CON,7.08
CON,81.84
CON,143.2
CON,62.12
CON,61.24
CON,45.04
CON,56.12
SHED,71.12
SHED,14.08
SHED,115.48
SHED,22.84
SHED,20.76
SHED,69.04
SHED,131.12
SHED,105.96
SHED,71.84
SHED,71.04
SHED,91.48
SHED,69
SHED,96.44
SHED,59.84
SHED,138
SHED,71.72
