Annotation/Divergence,DD6_old_rep1,DD7_old_rep2,DD8_old_rep3,DD9_old_rep4,DD10_old_rep5,DD11_old_rep6,DD18_old121_rep1,DD19_old121_rep2,DD20_old121_rep3,DD21_old121_rep4,DD22_old121_rep5,DD23_old121_rep6
Zbed6,4.791,4.83,3.9160000000000004,0.794,2.583,2.041,7.76,7.145,7.019,3.713,8.038,5.971
Ikzf2,0.57,0.359,0.456,0.585,0.565,0.599,0.685,0.54,0.5920000000000001,0.644,0.618,0.772
Mpzl1,8.332,10.448,7.981,8.919,9.942,8.713,7.037000000000001,8.224,6.815,7.917999999999999,7.285,7.684
Sat1,14.264000000000001,17.084,11.81,17.421,12.94,12.282,10.337,9.115,10.264000000000001,11.573,9.689,9.916
2810468N07Rik,14.956,20.886999999999997,13.354000000000001,13.907,11.144,11.949000000000002,12.064,12.239,9.818,10.975999999999999,11.817,8.721
Lrp1b,2.1069999999999998,1.8359999999999999,2.6260000000000003,1.4180000000000001,1.999,2.035,3.205,2.968,3.048,2.3080000000000003,3.1510000000000002,2.745
Alpk1,1.058,0.68,0.71,0.8909999999999999,0.905,0.682,1.5130000000000001,1.266,1.415,0.996,1.265,1.5090000000000001
Lrrc24,9.01,9.253,6.817,9.401,7.972,9.797,6.443,6.75,5.854,8.724,7.162000000000001,7.917999999999999
Nup153,6.898,6.609,6.853,4.97,7.17,6.681,7.699,7.562,8.679,7.207000000000001,9.123,8.51
Ldoc1,0.978,0.585,0.85,1.1079999999999999,0.8220000000000001,1.168,0.9259999999999999,1.044,1.5,1.318,1.5419999999999998,1.1340000000000001
Pacsin3,6.3870000000000005,8.021,5.707999999999999,8.022,6.292999999999999,6.555,4.824,6.176,5.3870000000000005,5.95,6.1160000000000005,5.146
Gm29683,0.121,0.068,0.157,0.15,0.247,0.179,0.384,0.22,0.336,0.298,0.271,0.33399999999999996
Syt14,3.358,3.162,3.307,2.503,3.364,3.54,3.9010000000000002,4.374,4.3,3.699,4.074,3.747
Acpp,0.086,0.015,0.013000000000000001,0.076,0.023,0.043,0.15,0.124,0.086,0.114,0.115,0.22899999999999998
Rora,3.845,4.112,3.451,2.766,3.548,3.717,4.351,4.343999999999999,4.637,3.7880000000000003,4.603,4.045
Arntl,8.793,9.286,8.26,8.812000000000001,8.714,9.291,6.756,7.69,6.667000000000001,7.768,6.439,7.604
Lama1,0.35700000000000004,0.35700000000000004,0.34700000000000003,0.258,0.45799999999999996,0.267,1.043,0.456,0.7559999999999999,0.581,0.537,0.861
Xrn1,4.099,4.011,4.481,2.96,3.819,3.853,5.306,5.172000000000001,5.428999999999999,4.4719999999999995,5.4079999999999995,5.183
Cdkn2b,1.489,1.169,1.2009999999999998,1.103,1.238,0.77,0.726,0.8009999999999999,0.735,1.02,0.657,0.912
Fabp3,11.478,12.298,10.898,15.4,10.934000000000001,11.044,9.192,10.533,10.195,9.471,6.8389999999999995,7.8420000000000005
Serpind1,0.6709999999999999,0.8220000000000001,0.927,0.607,1.166,0.733,2.208,1.015,1.7990000000000002,2.177,1.276,2.157
Lcor,0.6409999999999999,0.502,0.588,0.085,0.28,0.21899999999999997,0.77,0.8809999999999999,0.9129999999999999,0.535,0.968,0.659
Jund,31.653000000000002,37.72,32.547,41.898999999999994,31.471999999999998,34.046,21.927,27.388,19.672,29.791,28.219,27.566999999999997
Nxnl1,0.083,0.094,0.086,0.08199999999999999,0.132,0.12300000000000001,0.081,0.05,0.046,0.061,0.062,0.035
Magef1,4.209,7.051,4.745,6.199,4.546,5.143,3.3480000000000003,4.013,4.556,4.591,4.075,4.687
Megf9,22.699,11.383,22.253,9.889,19.78,22.482,26.788,27.535999999999998,25.717,20.755,29.273000000000003,25.424
Arl5c,0.691,1.841,0.8440000000000001,0.768,0.94,1.0959999999999999,0.613,0.7170000000000001,0.38299999999999995,0.584,0.441,0.785
Icam1,0.5670000000000001,0.835,0.6729999999999999,0.7290000000000001,0.9540000000000001,0.6629999999999999,1.615,0.596,1.341,1.0590000000000002,1.222,1.101
Dubr,3.042,2.222,2.135,1.252,1.8969999999999998,1.287,2.905,3.031,3.002,2.281,3.178,2.688
Gabarapl2,7.471,7.405,7.0329999999999995,9.908,7.278,6.54,5.005,5.356,5.763,7.619,5.975,6.305
Gjb2,1.3719999999999999,2.274,1.315,1.466,3.4530000000000003,1.8030000000000002,7.004,2.406,5.652,6.207000000000001,2.995,6.54
Kcnh7,1.175,0.516,0.39399999999999996,0.255,0.331,0.425,1.349,1.012,0.855,0.5539999999999999,1.102,0.825
