FQ,lab1,lab2,non1,non2
Q91WK5,57591,50064.82535,47422.78074,45794.82427
B1ASP5,7093.1,7698.482371,5699.229499,6572.468168
B9EI21,2589.8,0,1205.310551,1449.412539
Q0VE82,39855,38126.04501,33115.41874,33450.45781
E9Q9P4,6389.6,8572.665513,5129.410792,6841.992781
Q9WVK4,15733,17915.33855,14024.60266,14173.96704
B9EKI5,13008,21319.36438,10727.65481,15875.67828
Q9QYB1,3524.1,3814.675271,2927.015232,3219.157429
A0A0R4J083,26334,28813.95564,21850.65149,24268.52508
O54983,140480,133945.3102,120602.7222,115961.7031
Q8VEH5,12093,11476.52096,9521.301831,10533.03578
Q61768,4781.5,5165.294597,4207.902012,4213.997309
P0DP60,28122,29417.66448,23373.90341,25202.03027
Q9DCN2,32224,27079.28829,26503.80173,25428.22911
Q8BH40,31212,43256.7737,25662.0389,34008.99494
F8VQJ3,20240,30104.20408,18315.50822,22068.3064
Q8JZR6,15936,20033.89464,12832.19219,16436.82539
E9Q616,16380,13755.00413,12646.90012,13501.4605
J3QQ00,17844,19267.71007,14566.66664,16556.88477
P67984,2111,1963.885561,1891.881501,1673.349386
Q9QUR6,7099.6,7870.993367,5404.482205,6967.098137
G3V004,14532,16212.52919,11907.68642,13756.36919
Q9DB50,15376,16534.29485,12715.17933,14167.87707
Q9D1K2,71418,69058.55674,60609.52968,60524.71845
A0A494BBG8,20936,21489.80461,17137.56147,18857.15293
Q9EQF6,56536,49768.54608,47798.05581,45373.74644
Q64010,25198,31727.36848,21505.3463,25375.15938
P26048,6884.7,7618.200246,5977.428204,6286.58764
P57759,20829,23520.75123,18720.75317,18857.15293
Q99KK7,5800.3,5801.817161,5133.971427,4894.942803
Q60597,132970,137941.8946,112123.8511,118693.489
D3Z6Z0,35465,36751.37291,31017.52686,30926.60081
Q6NS60,9010.4,10867.07768,7774.709115,8776.514823
Q6ZPJ3,23198,23801.10151,18924.02716,21032.14174
P20152,251150,238552.6009,192106.9562,225842.1375
Q9Z2X1,14933,16187.0428,12729.90367,13691.11953
Q8CHX7,9040,11516.9806,7828.003387,9161.052844
D3YTK7,12820,17576.051,11751.58241,13253.51178
Q5VCS6,10351,10910.56383,8642.011496,9452.501343
B2FDG7,12229,12739.8494,10261.68827,11055.90309
A0A0A6YW23,6962,7516.89185,5716.038695,6526.793403
O70589,17740,17967.90423,14617.48514,15946.14792
Q61595,24538,19686.64259,19054.33101,19968.13721
P62823,36594,40878.57502,36298.74163,30938.78074
D6RIN4,40564,37127.29715,33712.21034,34156.89418
Q9EQE2,38670,40125.13365,33107.60051,34557.09212
Q8CIV8,35315,32232.31756,29414.78959,29669.45728
Q922R8,120010,132683.7339,105543.507,110037.0336
Q9WV98,62113,56786.86045,53236.93823,51266.22611
Q3UQ44,30651,34156.53993,26583.28707,28534.98312
Q99KP3,3569.6,3815.15314,3361.708854,3055.511272
A0A1D5RLS1,42084,41243.34897,37023.231,35702.00622
P17156,134580,119266.743,114401.5623,109793.4348
P62192,18117,17490.03444,16347.92018,14951.74304
D3Z2H7,5241.6,4231.21844,4053.23135,4317.526776
E9QA63,127570,167987.1614,113799.5585,131273.6243
E9Q2W9,6990.8,7271.107486,5844.518284,6383.76614
Q3TJ56,38266,40845.12414,32216.32222,35402.72777
P62073,57356,54279.63693,51489.56369,47058.92777
Q99JI4,26675,29784.03132,22366.65471,25550.02848
Q9CVB6,25498,44790.73573,17980.62734,35835.98554
Q6Y685,13051,12025.43406,10949.95317,11082.87295
A0A0G2JFF1,67187,67513.44441,57784.54236,59269.31491
Q9Z2I8,19774,22856.51222,15937.46308,19847.20784
Q8BIW1,23171,23745.35003,17854.23261,22103.97622
Q6DFV8,22054,26483.54395,20904.64558,20606.71393
A0A140LHK6,10550,11407.70771,9140.814609,9730.029915
Q8R001,107890,115908.9113,96695.87605,96961.0009
P84104,56799,57301.36692,48542.09075,50559.78974
E9QN44,10322,9166.498377,9147.460105,8286.185347
