uniprot,gene
Q920N7,SYT12
Q920P5,KAD5
A0A087WRZ5,A0A087WRZ5
Q6PF96,Q6PF96
H3BJZ9,H3BJZ9
Q921I1,TRFE
Q921M7,FA49B
Q921W0,CHM1A
Q922D8,C1TC
Q922J3-2,CLIP1
Q922Q1,MARC2
Q922Q4,P5CR2
Q922Q8,LRC59
Q922R8,PDIA6
Q5PR72,Q5PR72
Q925I1,ATAD3
Q925N0,SFXN5
Q99J47,DRS7B
F7BX42,F7BX42
Q99JB2,STML2
Q99JI6,RAP1B
A0A3Q4EGQ9,A0A3Q4EGQ9
Q99JP6,HOME3
Q99JR1,SFXN1
Q99JY0,ECHB
Q99JY8,PLPP3
Q99JY9,ARP3
Q99K85,SERC
A0A286YDS5,A0A286YDS5
Q99KI0,ACON
Q99KI3,EMC3
Q99KJ8,DCTN2
Q99KK7,DPP3
Q99KX1,MLF2
Q99L04,DHRS1
Q99L13,3HIDH
A2AMQ5,A2AMQ5
Q99L88-2,SNTB1
A0A2I3BRG8,A0A2I3BRG8
Q99LC3,NDUAA
Q99LC5,ETFA
Q99LF4,RTCB
Q99LG2,TNPO2
Q99LR1,ABD12
A2A815,A2A815
Q99LY9,NDUS5
Q99M87-3,DNJA3
Q99MN1,SYK
Q99MN9,PCCB
Q99MX7,T121B
Q99N28,CADM3
F6TZK4,F6TZK4
Q99NE5-7,RIMS1
D3YWB9,D3YWB9
Q99P58,RB27B
Q99P72,RTN4
D3Z396,D3Z396
A2AVJ7,A2AVJ7
Q99PT1,GDIR1
Q99PU5,ACBG1
Q9CPP6,NDUA5
Q9CPQ1,COX6C
Q9CPQ3,TOM22
Q9CPQ8,ATP5L
E9Q197,E9Q197
Q9CPW0,CNTP2
Q9CPY7,AMPL
Q9CQ10,CHMP3
Q9CQ22,LTOR1
Q9CQ54,NDUC2
Q9CQ60,6PGL
Q9CQ62,DECR
Q9CQ69,QCR8
Q9CQ75,NDUA2
E9PXB9,E9PXB9
Q9CQ91,NDUA3
Q9CQ92,FIS1
Q9CQA3,SDHB
D3Z3X4,D3Z3X4
Q9CQC7,NDUB4
Q9CQD1,RAB5A
D3Z568,D3Z568
A0A2I3BR94,A0A2I3BR94
Q9CQI6,COTL1
Q9CQJ8,NDUB9
Q9CQN3,TOM6
Q9CQQ7,AT5F1
Q9CQR2,RS21
Q9CQR4,ACO13
Q9CQS4,S2546
Q9CQS8,SC61B
A0A1L1SQA2,A0A1L1SQA2
Q9CQV7,TIM14
Q9CQV8,1433B
A0A0N4SVB8,A0A0N4SVB8
Q9CQX2,CYB5B
Q9CQY6,UQCC2
Q9CQZ1,HSBP1
Q9CQZ5,NDUA6
Q9CQZ6,NDUB3
Q9CR16,PPID
Q9CR26,VTA1
Q9CR51,VATG1
Q9CR61,NDUB7
Q9CR62,M2OM
Q9CR68,UCRI
Q9CR95,NECP1
Q9CRB6,TPPP3
Q9CRB8,MTFP1
Q9CRB9,MIC19
Q9CRD0,OCAD1
Q9CRD2,EMC2
Q9CRY7,GDPD1
Q9CS84-5,NRX1A
Q9CTY5,MICU3
D3YXG6,D3YXG6
Q9CWE0,MFR1L
Q9CWJ9,PUR9
A0A494BBK3,A0A494BBK3
Q9CWS0,DDAH1
Q9CWZ7,SNAG
Q9CX00,IST1
Q9CX86,ROA0
Q9CXJ4,ABCB8
Q9CXW4,RL11
Q9CXZ1,NDUS4
A0A0N4SUQ1,A0A0N4SUQ1
Q9CYG7-2,TOM34
D3Z0A8,D3Z0A8
A0A140LHW5,A0A140LHW5
D3YTR7,D3YTR7
Q9CZ13,QCR1
Q9CZ30,OLA1
Q9CZ42-2,NNRD
Q9CZ44,NSF1C
Q9CZC8,SCRN1
Q9CZP5,BCS1
Q9CZS1,AL1B1
Q9CZT8,RAB3B
Q9CZU6,CISY
Q9CZW4,ACSL3
Q9CZW5,TOM70
Q9CZX8,RS19
Q9D051,ODPB
Q9D0F3,LMAN1
Q9D0F9,PGM1
B1AVI2,B1AVI2
Q9D0I9,SYRC
Q9D0J8,PTMS
Q9D0K2,SCOT1
Q9D0L7,ARM10
Q9D0M3,CY1
Q9D0M5,DYL2
Q9D164-2,FXYD6
Q9D172,GAL3A
Q9D1A2,CNDP2
Q9D1D4,TMEDA
Q9D1G1,RAB1B
A2AKH7,A2AKH7
Q9D1J3,SARNP
Q9D1K2,VATF
Q9D1T0,LIGO1
Q9D2G2,ODO2
Q9D2M8,UB2V2
Q8CFR5,Q8CFR5
Q9D2R6,COA3
Q9D394,RUFY3
Q9D3D9,ATPD
Q9D3P8,PLRKT
Q9D415-3,DLGP1
A0A494BAB5,A0A494BAB5
Q9D6F9,TBB4A
Q9D6J5,NDUB8
Q9D6J6,NDUV2
Q9D6K5-2,SYJ2B
Q9D6M3,GHC1
A0A1L1STE6,A0A1L1STE6
Q9D6S7,RRFM
Q9D6U8,F162A
D3Z2J6,D3Z2J6
Q9D7A8,ARMC1
H3BKL8,H3BKL8
Q9D819,IPYR
Q9CQB4,Q9CQB4
Q9D880,TIM50
D3Z7G3,D3Z7G3
Q9D8B3,CHM4B
Q9D8E6,RL4
Q9D8N0,EF1G
Q9D8W7,OCAD2
Q9D8Y1,T126A
Q9D967,MGDP1
A0A0N4SW28,A0A0N4SW28
Q9DB05,SNAA
Q9DB10,EMRE
Q9DB15,RM12
Q9DB20,ATPO
Q9DB34,CHM2A
Q9DB41-2,GHC2
Q9DB60,PXL2B
Q9DB72,BTBDH
Q9DB73,NB5R1
Q9DB75,CDIP1
Q9DB77,QCR2
Q9DBC7,KAP0
F6RBY3,F6RBY3
G3UY72,G3UY72
Q9DBG3,AP2B1
Q9DBJ1,PGAM1
Q9DBR7-2,MYPT1
Q9DBS1,TMM43
Q9DBT5,AMPD2
Q9DC07,LNEBL
F6SLP4,F6SLP4
Q9DC51,GNAI3
A0A0R3P9C8,A0A0R3P9C8
Q9DC70,NDUS7
Q9DCJ5,NDUA8
D3Z6P1,D3Z6P1
Q9DCN2-2,NB5R3
A0A0A6YWF5,A0A0A6YWF5
A2A845,A2A845
Q9DCS9,NDUBA
Q9DCT2,NDUS3
Q9DCT8,CRIP2
Q9DCW4,ETFB
Q9DCX2,ATP5H
Q9DCZ1,GMPR1
Q9DCZ4-2,MIC26
Q9DD18,DTD1
Q9EP69,SAC1
Q9EP89,LACTB
Q9EPE9,AT131
Q9EPK2-4,XRP2
Q9EPN1-3,NBEA
Q9EPR5,SORC2
Q9EQ06-2,DHB11
Q9EQ20,MMSA
Q9EQF6,DPYL5
Q9EQH3,VPS35
Q9EQZ6-3,RPGF4
Q9ER00,STX12
Q9ERB0,SNP29
Q9ERD7,TBB3
Q9ERI6,RDH14
Q9ERR1-2,NDEL1
Q9ERS2,NDUAD
E9Q0L2,E9Q0L2
Q9ES97-2,RTN3
Q9ESJ4,SPN90
Q9ESN6,TRIM2
Q9ESW4,AGK
Q9ET80,JPH1
Q9JHI5,IVD
D3YTS4,D3YTS4
Q9JHU4,DYHC1
H3BLR8,H3BLR8
Q9JI91,ACTN2
Q9JIA1,LGI1
Q9JIG8,PRAF2
Q9JII6,AK1A1
Q9JIS5,SV2A
Q9JJ28,FLII
F6RJV6,F6RJV6
Q9JJV2-3,PROF2
Q9JJY3,NSMA2
Q9JKC6,CEND
Q9JKD3,SCAM5
Q9JKF6,NECT1
Q9JKF7,RM39
A0A0A6YXG0,A0A0A6YXG0
Q9JKK7,TMOD2
Q9JKR6,HYOU1
Q9JL04,FMN2
Q9JLB0,MPP6
Q9JLM8,DCLK1
Q9JLN9,MTOR
F6RT60,F6RT60
Q9JM52-3,MINK1
Q9JM63,KCJ10
Q9JM76,ARPC3
Q9JM96,BORG4
Q9JMA1,UBP14
A0A571BEW4,A0A571BEW4
Q9JMG7,HDGR3
Q9JMH9-1,MY18A
Q9JMK2,KC1E
Q9QUI0,RHOA
Q9QUJ7-2,ACSL4
Q9QUP5,HPLN1
E9Q2A6,E9Q2A6
Q9QWW1-2,HOME2
Q9QXL2-3,KI21A
Q9QXS1-11,PLEC
Q9QXS6,DREB
Q9QXV0,PCSK1
Q9QXX4,CMC2
Q9QXY6,EHD3
E9PVY8,E9PVY8
Q8BH80,Q8BH80
Q9QYA2,TOM40
Q9QYB5-2,ADDG
Q9QYB8,ADDB
Q9R1R8,Q9R1R8
Q8VCV2,Q8VCV2
Q9QYG0,NDRG2
Q9QYJ0,DNJA2
Q3TYL7,Q3TYL7
Q9QYM9,TEFF2
Q9QYR6,MAP1A
Q9QYS2,GRM3
Q9QYX7,PCLO
Q8C5G6,Q8C5G6
Q9QZB0,RGS17
Q9QZD8,DIC
Q9QZF2,GPC1
Q9QZH6,ECSIT
E9PYX7,E9PYX7
Q9QZX7-2,SRR
Q9R0A0,PEX14
Q3UHH0,Q3UHH0
H3BJP2,H3BJP2
Q9R0P5,DEST
Q9R0P9,UCHL1
Q9R0Q6,ARC1A
Q9R0Y5,KAD1
Q9R111,GUAD
Q9R1C6,DGKE
A0A1B0GS70,A0A1B0GS70
Q9R1Q8,TAGL3
Q9R1R2,TRIM3
Q9R1T4-2,SEPT6
Q9R1V4,ADA11
Q9R1V6-12,ADA22
Q9R1V7-4,ADA23
A0A140T8J4,A0A140T8J4
Q9WTP7,KAD3
A0A2I3BS49,A0A2I3BS49
Q9WTR1,TRPV2
Q9WTR5,CAD13
A0A0A0MQB7,A0A0A0MQB7
Q9WTT4,VATG2
E9PUV4,E9PUV4
Q9WU78,PDC6I
A0A338P738,A0A338P738
Q9WUA2,SYFB
Q9WUA3-2,PFKAP
E9PUM3,E9PUM3
Q9WUC3,LY6H
Q9WUK2-2,IF4H
A0A494BAJ6,A0A494BAJ6
Q9WUM3,COR1B
Q9WUM4,COR1C
Q9WUM5,SUCA
D3Z3S1,D3Z3S1
Q9WUR9,KAD4
Q9WV18,GABR1
Q9WV34,MPP2
Q9WV55,VAPA
Q9WV60,GSK3B
Q9WV69-2,DEMA
D6RG99,D6RG99
Q9WV98,TIM9
Q9Z0E0-2,NCDN
Q9Z0H8,CLIP2
Q9Z0J4-4,NOS1
A2AAW9,A2AAW9
Q9Z0P4,PALM
A0A1L1STC8,A0A1L1STC8
A0A1W2P775,A0A1W2P775
A0A3B2WBH9,A0A3B2WBH9
Q9Z0V1,KCND3
Q9Z0V2,KCND2
B1AU25,B1AU25
Q9Z140,CPNE6
Q9Z1B3,PLCB1
Q9Z1G3,VATC1
Q9Z1G4-3,VPP1
Q9Z1L5,CA2D3
Q9Z1P6,NDUA7
Q9Z1Q2,ABHGA
Q3UF95,Q3UF95
Q9Z1S5-2,SEPT3
Q9Z204-2,HNRPC
Q9Z2D6,MECP2
Q9Z2I0,LETM1
Q9Z2I8-2,SUCB2
Q9Z2I9,SUCB1
Q9Z2Y3,HOME1
Q9Z2Z6,MCAT
A0A087WNU5,A0A087WNU5
A0A087WQ25,A0A087WQ25
A0A087WQH8,A0A087WQH8
A0A087WRS3,A0A087WRS3
A0A0A6YWM0,A0A0A6YWM0
A0A0A6YY91,A0A0A6YY91
A0A0J9YUE9,A0A0J9YUE9
A0A0N4SV65,A0A0N4SV65
A0A0R4J2B2,A0A0R4J2B2
E9PUM4,E9PUM4
A0A1Y7VIR0,A0A1Y7VIR0
E9Q9B7,E9Q9B7
A0A286YCT4,A0A286YCT4
A0A286YDL2,A0A286YDL2
A0A2I3BQP6,A0A2I3BQP6
F6ZGR6,F6ZGR6
A0A2R8VHJ0,A0A2R8VHJ0
A0A2R8VK70,A0A2R8VK70
A0A3Q4EBU5,A0A3Q4EBU5
A0A494BBE3,A0A494BBE3
A0A498WGM0,A0A498WGM0
A1BN54,A1BN54
A1L3P4,A1L3P4
A2ACG7,A2ACG7
A2AEW8,A2AEW8
A2AFG7,A2AFG7
A2AFQ2,A2AFQ2
A2ALL9,A2ALL9
A2AUK5,A2AUK5
A3KGU7,A3KGU7
A4GZ26,A4GZ26
B1AQZ0,B1AQZ0
G3UZ46,G3UZ46
B2RUS7,B2RUS7
B2RWC4,B2RWC4
B2RXT3,B2RXT3
B7ZBW1,B7ZBW1
D3YTP3,D3YTP3
D3YUS5,D3YUS5
F8SLP9,F8SLP9
D3YZ62,D3YZ62
D3Z3B8,D3Z3B8
E9PU87,E9PU87
E9PUC5,E9PUC5
E9PV44,E9PV44
E9PVU7,E9PVU7
Q925I8,Q925I8
E9PX29,E9PX29
F6TFN2,F6TFN2
E9PZ43,E9PZ43
E9Q1W0,E9Q1W0
E9Q3M9,E9Q3M9
G5E8R0,G5E8R0
E9Q6Q4,E9Q6Q4
E9Q828,E9Q828
Q7TNC9,Q7TNC9
E9QK04,E9QK04
E9QM38,E9QM38
F2Z3U3,F2Z3U3
F7AA26,F7AA26
F7BAB2,F7BAB2
G3UXX3,G3UXX3
H7BX46,H7BX46
H3BKQ7,H3BKQ7
Q8C4T8,Q8C4T8
Q14BI1,Q14BI1
Q3TNN4,Q3TNN4
Q3U2G2,Q3U2G2
Q3U422,Q3U422
Q3UGX2,Q3UGX2
Q3UJB0,Q3UJB0
Q4VA93,Q4VA93
Q5SWZ5,Q5SWZ5
Q68FG2,Q68FG2
Q6DFY2,Q6DFY2
Q6P1J1,Q6P1J1
Q6P6P5,Q6P6P5
Q7M6W1,Q7M6W1
Q7TNB5,Q7TNB5
Q80VM5,Q80VM5
Q8C845,Q8C845
Q8CAD1,Q8CAD1
Q8K1M3,Q8K1M3
Q8R5L1,Q8R5L1
Q91VA7,Q91VA7
Q91VB8,Q91VB8
Q9CQM8,Q9CQM8
Q9D6D0,Q9D6D0
S4R1C4,S4R1C4
