uniprot,gene
P31146,COR1A
P31150,GDIA
H7BYW5,H7BYW5
P31323,KAP3
P31689,DNJA1
P31930,QCR1
P31946,1433B
P31948,STIP1
P32004,L1CAM
P32189,GLPK
P32418,NAC1
P33176,KINH
P34932,HSP74
P35052,GPC1
C9J712,C9J712
G3XAM7,G3XAM7
A0A2R8Y5A3,A0A2R8Y5A3
P35232,PHB
P35241,RADI
A0A1B0GUX7,A0A1B0GUX7
P35579,MYH9
P35580,MYH10
A0A494C060,A0A494C060
E7EV99,E7EV99
P35612,ADDB
P35637,FUS
P35998,PRS7
P36542,ATPG
P36543,VATE1
P36578,RL4
P36915,GNL1
P36957,ODO2
P36959,GMPR1
P84074,HPCA
E7EPV7,E7EPV7
P38117,ETFB
P38606,VATA
P38646,GRP75
P39019,RS19
B5MCW2,B5MCW2
P40227,TCPZ
B9A041,B9A041
P40926,MDHM
P41594,GRM5
P42025,ACTY
P42261,GRIA1
P42262,GRIA2
P42263,GRIA3
P42356,PI4KA
A0A087X0U3,A0A087X0U3
P43004,EAA2
P43034,LIS1
D6R991,D6R991
P43304,GPDM
A0A0A0MR02,A0A0A0MR02
P45974,UBP5
I3L297,I3L297
P46459,NSF
P46779,RL28
A0A024R4M0,A0A024R4M0
M0R0F0,M0R0F0
P46821,MAP1B
F2Z357,F2Z357
P47755,CAZA2
P47756,CAPZB
G5E9Z6,G5E9Z6
B7Z279,B7Z279
H7C086,H7C086
P48539,PCP4
P48547,KCNC1
P49368,TCPG
P49411,EFTU
P49418,AMPH
P49588,SYAC
P49591,SYSC
P49755,TMEDA
P49802,RGS7
G3V0I5,G3V0I5
P49840,GSK3A
P49841,GSK3B
P50148,GNAQ
P50213,IDH3A
P50570,DYN2
P50990,TCPQ
P50991,TCPD
B1AKY9,B1AKY9
P51148,RAB5C
P51149,RAB7A
A0A2R8Y5M6,A0A2R8Y5M6
C9J8Q5,C9J8Q5
P51674,GPM6A
P51970,NDUA8
P51991,ROA3
P52306,GDS1
J3KS60,J3KS60
P52815,RM12
P53396,ACLY
P53597,SUCA
P53680,AP2S1
H3BQF7,H3BQF7
F8VNV8,F8VNV8
P54289,CA2D1
P54764,EPHA4
P54920,SNAA
G3XAL9,G3XAL9
P55072,TERA
H3BUU9,H3BUU9
P55290,CAD13
P55327,TPD52
P55795,HNRH2
P55809,SCOT1
P56385,ATP5I
P58401,NRX2B
K7ENE8,K7ENE8
P59768,GBG2
F8WDD7,F8WDD7
P60174,TPIS
P60201,MYPR
F8W1R7,F8W1R7
P60880,SNP25
P60953,CDC42
F6RFD5,F6RFD5
P61019,RAB2A
P61020,RAB5B
P61026,RAB10
P61081,UBC12
P61088,UBE2N
P61106,RAB14
P61158,ARP3
