uniprot,gene
P23284,PPIB
P23396,RS3
Q3KPI9,Q3KPI9
A0A494C1R4,A0A494C1R4
P23526,SAHH
P23528,COF1
C9JC74,C9JC74
P24534,EF1B
Q5QNZ2,Q5QNZ2
H0YEL7,H0YEL7
P25398,RS12
P25705,ATPA
P25788,PSA3
P26038,MOES
P26196,DDX6
P26232,CTNA2
P26373,RL13
A0A0S2Z4K7,A0A0S2Z4K7
P26641,EF1G
P27348,1433T
X1WI28,X1WI28
P27797,CALR
H0Y2V1,H0Y2V1
P27824,CALX
P28288,ABCD3
P28289,TMOD1
P28331,NDUS1
P28482,MK01
P28838,AMPL
P29401,TKT
C9J5P6,C9J5P6
P29992,GNA11
P30041,PRDX6
P30044,PRDX5
P30048,PRDX3
P30050,RL12
Q5T0D2,Q5T0D2
P30086,PEBP1
P30101,PDIA3
P30153,2AAA
P30419,NMT1
A0A3B3ITA2,A0A3B3ITA2
P30837,AL1B1
D6RFM5,D6RFM5
P31146,COR1A
P31150,GDIA
H7BYW5,H7BYW5
P31323,KAP3
P31689,DNJA1
P31930,QCR1
P31937,3HIDH
P31946,1433B
P31948,STIP1
P32004,L1CAM
P32189,GLPK
P32418,NAC1
D6RAN4,D6RAN4
P33176,KINH
P33763,S10A5
P34932,HSP74
H7BZL4,H7BZL4
C9J712,C9J712
P35221,CTNA1
A0A2R8Y5A3,A0A2R8Y5A3
P35232,PHB
P35241,RADI
P35579,MYH9
P35580,MYH10
P35609,ACTN2
E7EV99,E7EV99
P35612,ADDB
P35637,FUS
P35998,PRS7
P36542,ATPG
P36543,VATE1
P36578,RL4
K7EJE8,K7EJE8
P36871,PGM1
P36915,GNL1
P36957,ODO2
E7EPV7,E7EPV7
P38117,ETFB
H3BR27,H3BR27
P38405,GNAL
P38606,VATA
P38646,GRP75
P39019,RS19
P39023,RL3
P39656,OST48
E9PDI2,E9PDI2
P40227,TCPZ
P40925,MDHC
P40926,MDHM
A0A2R8Y4F5,A0A2R8Y4F5
J3KR24,J3KR24
P41594,GRM5
P41732,TSN7
P42025,ACTY
P42261,GRIA1
P42262,GRIA2
P42263,GRIA3
P42356,PI4KA
P42677,RS27
F2Z388,F2Z388
A0A087WT87,A0A087WT87
P43004,EAA2
P43034,LIS1
P43155,CACP
A8MXP9,A8MXP9
P43304,GPDM
P43487,RANG
P43686,PRS6B
A0A0A0MR02,A0A0A0MR02
P45974,UBP5
P45985,MP2K4
A0A0G2JL47,A0A0G2JL47
P46459,NSF
P46777,RL5
A0A024R4M0,A0A024R4M0
M0R0F0,M0R0F0
P46783,RS10
P46821,MAP1B
P47755,CAZA2
G5E9Z6,G5E9Z6
H7C086,H7C086
P48066,S6A11
B7Z589,B7Z589
